,BlackRock Multi-Asset Income Portfolio,iShares iBoxx $ High Yield Corporate Bond ETF,BlackRock Equity Dividend Fund,iShares 20+ Year Treasury Bond ETF,Vanguard Equity-Income Fund Investor Shares,Cash
2018-10-29,8.308459281921387,67.08638000488281,12.637237548828125,104.46290588378906,25.63481903076172,22.2194260303558
2018-10-30,8.324376106262207,67.2458267211914,12.79254150390625,103.94390106201172,26.06820297241211,22.220764366762836
2018-10-31,8.377129554748535,67.2458267211914,12.90182876586914,103.41580963134766,26.14043426513672,22.2221027837815
2018-11-01,8.40910530090332,67.55428314208984,12.965102195739746,103.51165008544922,26.400468826293945,22.223441281416665
2018-11-02,8.40111255645752,67.51422882080078,12.947844505310059,102.2247085571289,26.313793182373047,22.224779859673177
2018-11-05,8.417099952697754,67.57032775878906,13.07439136505127,102.62631225585938,26.58104705810547,22.22877782158596
2018-11-06,8.417099952697754,67.74655151367188,13.108902931213379,102.56243896484375,26.711061477661133,22.23011672127679
2018-11-07,8.465060234069824,68.13915252685547,13.333234786987305,102.69928741455078,27.10832977294922,22.231455701613186
2018-11-08,8.45706558227539,67.97089385986328,13.292970657348633,102.69017791748047,27.064998626708984,22.232794762600005
2018-11-09,8.433085441589355,67.58634948730469,13.189434051513672,103.45686340332031,26.949424743652344,22.234133904242107
2018-11-12,8.40910530090332,67.1697006225586,12.976606369018555,104.13228607177734,26.646055221557617,22.23813354883135
2018-11-13,8.385124206542969,67.05755615234375,12.953598976135254,104.06842041015625,26.588272094726562,22.239466923573907
2018-11-14,8.369139671325684,66.92935180664062,12.855814933776855,104.13228607177734,26.443801879882812,22.240806467098395
2018-11-15,8.369139671325684,66.91333770751953,12.953598976135254,104.08665466308594,26.725505828857422,22.242146091307227
2018-11-16,8.377129554748535,66.71307373046875,12.999614715576172,104.68904876708984,26.877197265625,22.243485796205267
2018-11-19,8.345158576965332,66.5047836303711,12.93058967590332,104.98114013671875,26.76885223388672,22.247505395083227
2018-11-20,8.281209945678711,66.29645538330078,12.683252334594727,105.01762390136719,26.335460662841797,22.24884542278669
2018-11-21,8.305191040039062,66.63292694091797,12.752275466918945,104.98114013671875,26.32823944091797,22.250185531203677
2018-11-23,8.289205551147461,66.26441955566406,12.665998458862305,105.09063720703125,26.169330596923828,22.25286599019761
2018-11-26,8.313185691833496,66.57687377929688,12.82130241394043,104.85331726074219,26.43657875061035,22.256887284161383
2018-11-27,8.313185691833496,66.54481506347656,12.86424732208252,104.97199249267578,26.54492950439453,22.258227876961524
2018-11-28,8.353153228759766,67.09761047363281,13.050126075744629,104.46086883544922,26.898862838745117,22.25956855050921
2018-11-29,8.353153228759766,67.11363983154297,13.03089714050293,104.8716049194336,26.891639709472656,22.26090930480931
2018-11-30,8.390890121459961,66.9774398803711,13.075767517089844,105.26406860351562,27.180570602416992,22.262250139866683
2018-12-03,8.431035995483398,67.44100189208984,13.171910285949707,106.0114974975586,27.31780433654785,22.2662731296311
2018-12-04,8.350743293762207,67.02251434326172,12.851426124572754,107.78626251220703,26.646055221557617,22.267608191592878
2018-12-06,8.334684371948242,66.78913879394531,12.691184043884277,108.12477111816406,26.508813858032227,22.270290749478374
2018-12-07,8.302567481994629,66.66034698486328,12.511713027954102,108.32604217529297,26.111549377441406,22.27163214960565
2018-12-10,8.27847671508789,66.70862579345703,12.447617530822754,108.7742919921875,26.07543182373047,22.275638539663596
2018-12-11,8.27847671508789,66.82936096191406,12.421977996826172,108.75599670410156,26.024871826171875,22.276980261902807
2018-12-12,8.294536590576172,67.04664611816406,12.48607349395752,108.2711410522461,26.13321876525879,22.2783159658528
2018-12-13,8.310596466064453,67.20763397216797,12.492484092712402,108.01498413085938,26.13321876525879,22.279651749890174
2018-12-14,8.270444869995117,66.92594146728516,12.306602478027344,108.39007568359375,25.6998291015625,22.280987614019736
2018-12-17,8.222265243530273,66.4913558959961,12.114313125610352,109.02130889892578,25.230327606201172,22.284995687009545
2018-12-18,8.206208229064941,66.37090301513672,12.043807029724121,109.6742172241211,25.107999801635742,22.28633797285517
