,T,r,mu,sigma,S0,K,Price
9311,1.0,0.0,0.24,0.12000000000000001,50.0,40.0,16.51658642646094
9312,1.0,0.0,0.24,0.12000000000000001,50.0,45.0,11.505916395755008
9313,1.0,0.0,0.24,0.12000000000000001,50.0,50.0,6.524041306638639
9314,1.0,0.0,0.24,0.12000000000000001,50.0,55.00000000000001,2.436451055427749
9315,1.0,0.0,0.24,0.12000000000000001,50.0,60.00000000000001,0.46471780402055546
9316,1.0,0.0,0.24,0.12000000000000001,50.0,65.0,0.04557393276521228
9317,1.0,0.0,0.24,0.12000000000000001,61.111111111111114,42.77777777777778,26.328958628117597
9318,1.0,0.0,0.24,0.12000000000000001,61.111111111111114,48.888888888888886,20.194149518399342
9319,1.0,0.0,0.24,0.12000000000000001,61.111111111111114,55.00000000000001,14.072421504854253
9320,1.0,0.0,0.24,0.12000000000000001,61.111111111111114,61.111111111111114,8.012856253813933
9321,1.0,0.0,0.24,0.12000000000000001,61.111111111111114,67.22222222222223,3.02026742400408
9322,1.0,0.0,0.24,0.12000000000000001,61.111111111111114,73.33333333333334,0.5932358767101759
9323,1.0,0.0,0.24,0.12000000000000001,61.111111111111114,79.44444444444446,0.04569251298997242
9324,1.0,0.0,0.24,0.12000000000000001,72.22222222222223,50.55555555555556,31.10140866837555
9325,1.0,0.0,0.24,0.12000000000000001,72.22222222222223,57.77777777777778,23.869282953363385
9326,1.0,0.0,0.24,0.12000000000000001,72.22222222222223,65.00000000000001,16.648956015470084
9327,1.0,0.0,0.24,0.12000000000000001,72.22222222222223,72.22222222222223,9.404173410303741
9328,1.0,0.0,0.24,0.12000000000000001,72.22222222222223,79.44444444444446,3.5858977401730727
9329,1.0,0.0,0.24,0.12000000000000001,72.22222222222223,86.66666666666669,0.6520307416917689
9330,1.0,0.0,0.24,0.12000000000000001,72.22222222222223,93.8888888888889,0.05968416083503266
9331,1.0,0.0,0.24,0.12000000000000001,83.33333333333333,58.33333333333333,35.948859306119296
9332,1.0,0.0,0.24,0.12000000000000001,83.33333333333333,66.66666666666666,27.382136925921753
9333,1.0,0.0,0.24,0.12000000000000001,83.33333333333333,75.0,19.138760320496303
9334,1.0,0.0,0.24,0.12000000000000001,83.33333333333333,83.33333333333333,11.017377803338446
9335,1.0,0.0,0.24,0.12000000000000001,83.33333333333333,91.66666666666667,4.03934076185475
9336,1.0,0.0,0.24,0.12000000000000001,83.33333333333333,100.00000000000001,0.7790132725375283
9337,1.0,0.0,0.24,0.12000000000000001,83.33333333333333,108.33333333333333,0.07745744104031352
9338,1.0,0.0,0.24,0.12000000000000001,94.44444444444444,66.1111111111111,40.53049347459299
9339,1.0,0.0,0.24,0.12000000000000001,94.44444444444444,75.55555555555554,31.08224452105676
9340,1.0,0.0,0.24,0.12000000000000001,94.44444444444444,85.0,21.692528271222887
9341,1.0,0.0,0.24,0.12000000000000001,94.44444444444444,94.44444444444444,12.392598540386036
9342,1.0,0.0,0.24,0.12000000000000001,94.44444444444444,103.8888888888889,4.603396563506317
9343,1.0,0.0,0.24,0.12000000000000001,94.44444444444444,113.33333333333334,0.8986543783039908
9344,1.0,0.0,0.24,0.12000000000000001,94.44444444444444,122.77777777777779,0.08746650933581146
9345,1.0,0.0,0.24,0.12000000000000001,105.55555555555556,73.88888888888889,45.276944976533926
9346,1.0,0.0,0.24,0.12000000000000001,105.55555555555556,84.44444444444444,34.81147742647482
9347,1.0,0.0,0.24,0.12000000000000001,105.55555555555556,95.0,24.443498662786414
9348,1.0,0.0,0.24,0.12000000000000001,105.55555555555556,105.55555555555556,13.940212130669758
9349,1.0,0.0,0.24,0.12000000000000001,105.55555555555556,116.11111111111113,5.104819735327426
9350,1.0,0.0,0.24,0.12000000000000001,105.55555555555556,126.66666666666669,1.0594864016123933
9351,1.0,0.0,0.24,0.12000000000000001,105.55555555555556,137.22222222222223,0.09971651459469293
9352,1.0,0.0,0.24,0.12000000000000001,116.66666666666666,81.66666666666666,50.136090297085175
9353,1.0,0.0,0.24,0.12000000000000001,116.66666666666666,93.33333333333331,38.67948702681042
9354,1.0,0.0,0.24,0.12000000000000001,116.66666666666666,105.0,26.821587953672296
9355,1.0,0.0,0.24,0.12000000000000001,116.66666666666666,116.66666666666666,15.382961770622627
9356,1.0,0.0,0.24,0.12000000000000001,116.66666666666666,128.33333333333334,5.825331048332451
