,T,n_step,r,mu,sigma,S0,K,Price
4700,0.5,132.0,0.03,0.3,0.12000000000000001,61.111111111111114,61.111111111111114,4.8564052348317945
4701,0.5,132.0,0.03,0.3,0.12000000000000001,61.111111111111114,67.22222222222223,0.7779276722495481
4702,0.5,132.0,0.03,0.3,0.12000000000000001,61.111111111111114,73.33333333333334,0.022766347851182915
4703,0.5,132.0,0.03,0.3,0.12000000000000001,61.111111111111114,79.44444444444446,0.0
4704,0.5,132.0,0.03,0.3,0.12000000000000001,72.22222222222223,50.55555555555556,26.956711647770575
4705,0.5,132.0,0.03,0.3,0.12000000000000001,72.22222222222223,57.77777777777778,19.843735825589405
4706,0.5,132.0,0.03,0.3,0.12000000000000001,72.22222222222223,65.00000000000001,12.718950669707871
4707,0.5,132.0,0.03,0.3,0.12000000000000001,72.22222222222223,72.22222222222223,5.764416609559243
4708,0.5,132.0,0.03,0.3,0.12000000000000001,72.22222222222223,79.44444444444446,0.8708075296787912
4709,0.5,132.0,0.03,0.3,0.12000000000000001,72.22222222222223,86.66666666666669,0.02641004003534318
4710,0.5,132.0,0.03,0.3,0.12000000000000001,72.22222222222223,93.8888888888889,9.591578169072809e-05
4711,0.5,132.0,0.03,0.3,0.12000000000000001,83.33333333333333,58.33333333333333,31.103652271572894
4712,0.5,132.0,0.03,0.3,0.12000000000000001,83.33333333333333,66.66666666666666,22.91448117877331
4713,0.5,132.0,0.03,0.3,0.12000000000000001,83.33333333333333,75.0,14.73033820928328
4714,0.5,132.0,0.03,0.3,0.12000000000000001,83.33333333333333,83.33333333333333,6.561941640693975
4715,0.5,132.0,0.03,0.3,0.12000000000000001,83.33333333333333,91.66666666666667,1.0300395625183882
4716,0.5,132.0,0.03,0.3,0.12000000000000001,83.33333333333333,100.00000000000001,0.022928054973031693
4717,0.5,132.0,0.03,0.3,0.12000000000000001,83.33333333333333,108.33333333333333,0.0
4718,0.5,132.0,0.03,0.3,0.12000000000000001,94.44444444444444,66.1111111111111,35.23180315142656
4719,0.5,132.0,0.03,0.3,0.12000000000000001,94.44444444444444,75.55555555555554,26.019273751356664
4720,0.5,132.0,0.03,0.3,0.12000000000000001,94.44444444444444,85.0,16.68658066619364
4721,0.5,132.0,0.03,0.3,0.12000000000000001,94.44444444444444,94.44444444444444,7.568756711576007
4722,0.5,132.0,0.03,0.3,0.12000000000000001,94.44444444444444,103.8888888888889,1.2135648922763884
4723,0.5,132.0,0.03,0.3,0.12000000000000001,94.44444444444444,113.33333333333334,0.03300106977919557
4724,0.5,132.0,0.03,0.3,0.12000000000000001,94.44444444444444,122.77777777777779,0.0
4725,0.5,132.0,0.03,0.3,0.12000000000000001,105.55555555555556,73.88888888888889,39.447008388191115
4726,0.5,132.0,0.03,0.3,0.12000000000000001,105.55555555555556,84.44444444444444,28.978291696440827
4727,0.5,132.0,0.03,0.3,0.12000000000000001,105.55555555555556,95.0,18.453612129093553
4728,0.5,132.0,0.03,0.3,0.12000000000000001,105.55555555555556,105.55555555555556,8.389026108667423
4729,0.5,132.0,0.03,0.3,0.12000000000000001,105.55555555555556,116.11111111111113,1.2696264293393151
4730,0.5,132.0,0.03,0.3,0.12000000000000001,105.55555555555556,126.66666666666669,0.03673041289072531
